Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
A0A024R6I7	A0A024R6I7	SERPINA1	A0A024R6I7;A0A0G2JRN3;G3V544;G3V5R8;G3V387;A0A0B4J278;A0A0G2JPK4		SERPINA1
A0A024RA52	Proteasome subunit alpha type	PSMA2	A0A024RA52;P25787;C9JCK5;H3BT36;H7C402	Proteasome subunit alpha type;Proteasome subunit alpha type-2	PSMA2
A0A024RAC6	Transcription elongation factor B polypeptide 3	TCEB3	A0A024RAC6;Q14241	Transcription elongation factor B polypeptide 3	TCEB3
E9PRM7	Solute carrier family 22 member 18	SLC22A18	E9PRM7;A0A0J9YWM3;A0A024RCG2;Q96BI1;E9PMN7;A0A0J9YXN9	Solute carrier family 22 member 18	SLC22A18
F2Z2M1	Leukocyte-specific transcript 1 protein	LST1	F2Z2M1;A0A024RCL9;O00453-6;O00453-4;O00453-10;O00453-13;O00453-3;O00453-2;O00453;O00453-11	Leukocyte-specific transcript 1 protein	LST1
P46379-3	Large proline-rich protein BAG6	BAG6	P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;P46379-4;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2;F6WML8;F6U341;F6X9W3;F6VEM6;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;F6UR09;F6TC96;H0Y710;H0Y4L1;A0A0G2JIA9;A0A0G2JIB3;A0A0G2JJ92;H0Y759;H0Y7K4	Large proline-rich protein BAG6	BAG6;BAT3
A0A067XG54	Phospholipid-transporting ATPase	ATP11C	A0A067XG54;Q8NB49-2;Q8NB49-3;Q8NB49-4;Q8NB49;H7C0E8;A0A0C4DG94	Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG	ATP11C
A0A075B6I0	A0A075B6I0	IGLV8-61	A0A075B6I0		IGLV8-61
A0A075B6K5	A0A075B6K5	IGLV3-9	A0A075B6K5;A0A075B6K2		IGLV3-9
A0A075B6P5	Ig kappa chain V-II region FR	IGKV2D-28	A0A075B6P5;P01615	Ig kappa chain V-II region FR	IGKV2D-28
A0A075B6R2	A0A075B6R2	IGHV4-4	A0A075B6R2;A0A087WW49		IGHV4-4
A0A0C4DH68	A0A0C4DH68	IGKV2-24	A0A0C4DH68;A0A075B6R9		IGKV2-24;IGKV2D-24
A0A075B6S2	A0A075B6S2	IGKV2D-29	A0A075B6S2;A2NJV5;A0A0A0MRZ7		IGKV2D-29;IGKV A18;IGKV2D-26
A0A075B6S5	A0A075B6S5	IGKV1-27	A0A075B6S5		IGKV1-27
A0A075B730	Epiplakin	EPPK1	A0A075B730;P58107	Epiplakin	EPPK1
O00623	Peroxisome assembly protein 12	PEX12	O00623;A0A075B773;K7ELY8	Peroxisome assembly protein 12	PEX12
A0A075B7B5	SLIT-ROBO Rho GTPase-activating protein 2	SRGAP2	A0A075B7B5;B7ZM87;O75044;Q5VZB4;A0A286YEY3;P0DMP2;P0DJJ0;E9PDX4;A0A087X0L1;A0A087WW56	SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2B;SLIT-ROBO Rho GTPase-activating protein 2C	SRGAP2;SRGAP2B;SRGAP2C
A0A075B7B8	A0A075B7B8	IGHV3OR16-12	A0A075B7B8		IGHV3OR16-12
A0A075B7D0	A0A075B7D0	IGHV1OR15-1	A0A075B7D0		IGHV1OR15-1
A0A075B7D8	A0A075B7D8	IGHV3OR15-7	A0A075B7D8		IGHV3OR15-7
A0A075B7F0	A0A075B7F0	IGHV3OR16-10	A0A075B7F0		IGHV3OR16-10
V9GY97	Amyloid beta A4 precursor protein-binding family B member 1	APBB1	V9GY97;A0A087X0V7;A0A087WYH9;A0A075B7G8;J3KPL8;O00213-4;O00213-6;O00213-3;O00213-5;O00213-2;O00213	Amyloid beta A4 precursor protein-binding family B member 1	APBB1
F6TER3	Leukocyte immunoglobulin-like receptor subfamily B member 1	LILRB1	F6TER3;A0A087WSX8;A0A0G2JLS4;A0A0G2JQ15;A0A0G2JP64;A0A0G2JNM2;A0A0G2JP80;A0A087WSV6;A0A0G2JNQ6;A0A0G2JQ44;D9IDM5;D9IDM6;A0A0B4J1W1;A8MVE2;A0A0G2JQ46;Q8NHL6-4;Q8NHL6-2;Q8NHL6;Q8NHL6-3;F6RVM3;A0A0G2JNK9;A0A0G2JNR3;Q8NHL6-5	Leukocyte immunoglobulin-like receptor subfamily B member 1	LILRB1
A0A087WSV8	Nucleobindin-2	NUCB2	A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696;E9PLR0;E9PLE9;A0A2R8Y6G7;H0YEG8;H0YD18;E9PM22;E9PJP3	Nucleobindin-2;Nesfatin-1	NUCB2;Nucb2
Q16881	Thioredoxin reductase 1, cytoplasmic	TXNRD1	Q16881;Q16881-6;Q16881-3;Q16881-4;Q16881-2;Q16881-5;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E9PIR7;Q16881-7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PKI4;E9PLT3;E9PQI3;E9PRI8	Thioredoxin reductase 1, cytoplasmic	TXNRD1
A0A087WSY5	Carboxypeptidase B2	CPB2	A0A087WSY5;Q96IY4;Q96IY4-2	Carboxypeptidase B2	CPB2
A0A087X2I2	Glutathione peroxidase	GPX4	A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1;A0A087X247	Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	GPX4
A0A087WT20	DDB1- and CUL4-associated factor 13	DCAF13	A0A087WT20;Q9NV06;B3KME9;A0A087X1F8;E5RHM4	DDB1- and CUL4-associated factor 13	DCAF13
A0A087WV67	UBX domain-containing protein 8	UBXN8	A0A087WV67;A0A087WT23;O00124-3;O00124;A0A087WUA4;O00124-2	UBX domain-containing protein 8	UBXN8
A0A087WT64	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1	A0A087WT64;Q07820	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1
A0A087WW73	Phosphoinositide phospholipase C	PLCB1	A0A087WW73;A0A087WT80;Q9NQ66-2;Q9NQ66;A0A1B0GWB6;H0YCJ2;A0A0D9SF51;A0A0D9SG17;A0A1B0GW62;A0A0D9SGI7;A0A1B0GVC1;Q8IV92;B1AK73;A0A0D9SFE7	Phosphoinositide phospholipase C;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	PLCB1
A0A087WT84	JmjC domain-containing protein 4	JMJD4	A0A087WT84;Q9H9V9-2;Q9H9V9	JmjC domain-containing protein 4	JMJD4
A0A087WTA5	Translation initiation factor eIF-2B subunit delta	EIF2B4	A0A087WTA5;E7ERK9;Q9UI10-3;Q9UI10;Q9UI10-2;A0A087WW69;H7C2L8	Translation initiation factor eIF-2B subunit delta	EIF2B4
A0A087WTA8	Collagen alpha-2(I) chain	COL1A2	A0A087WTA8;P08123	Collagen alpha-2(I) chain	COL1A2
A0A087WTJ0	ATP-dependent DNA helicase Q4	RECQL4	A0A087WTJ0;A0A087X072;O94761	ATP-dependent DNA helicase Q4	RECQL4
A0A087WTJ2	GTPase IMAP family member 5	GIMAP1-GIMAP5	A0A087WTJ2;Q96F15;Q96F15-2	GTPase IMAP family member 5	GIMAP1-GIMAP5;GIMAP5
A0A087WTK0	Protein-tyrosine-phosphatase	PTPRJ	A0A087WTK0;A0A087WVC6;Q12913;Q12913-2;E9PPH3	Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase eta	PTPRJ
A0A087WTM1	Roundabout homolog 1	ROBO1	A0A087WTM1;Q9Y6N7-6;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;A0A087WZ85;A0A0A0MSX4;H7C4Y7	Roundabout homolog 1	ROBO1
A0A087WTS0	Glutathione peroxidase	GPX2	A0A087WTS0;P18283;H0YJK8;G3V4J6;G3V323	Glutathione peroxidase;Glutathione peroxidase 2	GPX2
Q5JWB9	Transmembrane protein 230	TMEM230	Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	Transmembrane protein 230	TMEM230
A0A087WTY7	Cytosolic beta-glucosidase	GBA3	A0A087WTY7;Q9H227;A0A087WWR5;Q9H227-2	Cytosolic beta-glucosidase	GBA3
A0A087WU02	Endoplasmic reticulum-Golgi intermediate compartment protein 2	ERGIC2	A0A087WU02;Q96RQ1;F8VPA6;F8W0R1;H0YI50;F8VR88;F8VUZ2;H0YI58	Endoplasmic reticulum-Golgi intermediate compartment protein 2	ERGIC2
A0A087WU07	MICOS complex subunit MIC10	MINOS1	A0A087WU07;Q5TGZ0;Q5TGZ0-2;R4GNA1;A0A3B3IRY5;R4GMM1;R4GMY4	MICOS complex subunit MIC10	MINOS1;MINOS1-NBL1
A0A087WU25	A0A087WU25	ACSM2B	A0A087WU25		ACSM2B
Q13030	Glycophorin-A	GPErik	Q13030;E7EQF3;A0A087WU29;A0A0C4DFT7;P02724-3;P02724-2;P02724;K9JIK7;E9PH25;E9PD10;K9JI14;A0A2R8Y7F9	Glycophorin-A	GPErik;GYPA
A0A087WU31	Chloride channel protein	CLCN3	A0A087WU31;A0A0A0MTB7;P51790-4;P51790-5;P51790;E9PE15;P51790-2;G3XAG5;P51793-2;P51793	Chloride channel protein;H(+)/Cl(-) exchange transporter 3	CLCN3
A0A087WU53	Magnesium transporter protein 1	MAGT1	A0A087WU53;Q9H0U3;Q9H0U3-2	Magnesium transporter protein 1	MAGT1
A0A087WU76	A0A087WU76	HSD11B1	A0A087WU76		HSD11B1
A0A087WUB9	Beta-catenin-like protein 1	CTNNBL1	A0A087WUB9;Q8WYA6-4;Q8WYA6;Q8WYA6-3;Q8WYA6-2;A2A2P1	Beta-catenin-like protein 1	CTNNBL1
A0A087WUC4	A0A087WUC4	ADH1C	A0A087WUC4		ADH1C
A0A087WUC6	Signal peptidase complex subunit 2	SPCS2	A0A087WUC6;E9PI68;Q15005;E9PL01;E9PRB9;H0YE04	Signal peptidase complex subunit 2	SPCS2
A0A0A0MQV6	Fibroblast growth factor	FGF2	A0A0A0MQV6;A0A087WUF6;P09038-2;P09038-3;P09038-1;P09038	Fibroblast growth factor;Fibroblast growth factor 2	FGF2
A0A087WUI4	Tryptase alpha/beta-1	TPSB2	A0A087WUI4;A0A087X1U0;Q15661-2;A0A0C4DGM1;A0A0C4DFZ7;Q9BZJ3;Q9BZJ3-2;A6NIE9	Tryptase alpha/beta-1	TPSB2;TPSAB1
G3V4U3	Interferon alpha-inducible protein 27, mitochondrial	IFI27	G3V4U3;A0A087WV79;A0A087WUJ8;A0A087X174;A0A087WZR1;P40305-1;P40305	Interferon alpha-inducible protein 27, mitochondrial	IFI27
A0A087WUK2	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	A0A087WUK2;O14979;O14979-3;O14979-2	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL
A0A087WUL2	A0A087WUL2	PSMB3	A0A087WUL2		PSMB3
A0A087WZG9	Retrotransposon-derived protein PEG10	PEG10	A0A087WZG9;B4DSP0;A0A087WXK2;A0A087WUL4;A0A087WX23;Q86TG7-2;Q86TG7;A0A087WYS2	Retrotransposon-derived protein PEG10	PEG10
A0A087WUQ6	Glutathione peroxidase	GPX1	A0A087WUQ6;P07203;A0A2R8Y6B6;A0A494C1C9;A0A494C118;P07203-2	Glutathione peroxidase;Glutathione peroxidase 1	GPX1
E7ETK0	40S ribosomal protein S24	RPS24	E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	40S ribosomal protein S24	RPS24
A0A087WUT6	Eukaryotic translation initiation factor 5B	EIF5B	A0A087WUT6;O60841	Eukaryotic translation initiation factor 5B	EIF5B
A0A087X0G7	NF-kappa-B essential modulator	IKBKG	A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;C9JN51;Q9Y6K9-3;A0A087WV30;C9J2V2;C9JH59;C9JCG6	NF-kappa-B essential modulator	IKBKG
Q9NXU5	ADP-ribosylation factor-like protein 15	ARL15	Q9NXU5;A0A087WUW9;A0A0B4J222	ADP-ribosylation factor-like protein 15	ARL15
B4DGW0	E3 SUMO-protein ligase PIAS2	PIAS2	B4DGW0;A0A087WUY7;O75928-3;O75928-2;O75928;O75925;O75925-2	E3 SUMO-protein ligase PIAS2;E3 SUMO-protein ligase PIAS1	PIAS2;PIAS1
Q99417	C-Myc-binding protein	MYCBP	Q99417;A0A087WV05;A0A0D9SEI7	C-Myc-binding protein	MYCBP
F8W7C6	F8W7C6	RPL10	F8W7C6;A0A087WV22;H7C123;H7C2C5;H7C2U2		RPL10
A0A087WV24	Aromatic-L-amino-acid decarboxylase	DDC	A0A087WV24;P20711-3;P20711;H7BZF7;A0A087WU57;P20711-4;P20711-2;F8WER1	Aromatic-L-amino-acid decarboxylase	DDC
A0A087WVA1	Selenoprotein T	SELT	A0A087WVA1;P62341;Q6IAK0;F8WBD0	Selenoprotein T	SELT
A0A087WVF7	Intersectin-2	ITSN2	A0A087WVF7;Q9NZM3-2;Q9NZM3;Q9NZM3-4;Q9NZM3-3;E7EPJ2;F8W719;H7BZD4;H0Y3G5	Intersectin-2	ITSN2
A0A087WVI0	Conserved oligomeric Golgi complex subunit 1	COG1	A0A087WVI0;E9PBL8;Q8WTW3;J3KRP4;J3KSY3;J3QKY9;J3QLT5	Conserved oligomeric Golgi complex subunit 1	COG1
A0A087WVM2	CD177 antigen	CD177	A0A087WVM2;Q8N6Q3;Q8N6Q3-2	CD177 antigen	CD177
A0A087WVM4	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	MTHFD1L	A0A087WVM4;B7ZM99;Q6UB35;H0Y327;Q6UB35-2;Q5JYA8;Q5JYA3;Q4VXM0;Q4VXM1;Q4VXV2	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	MTHFD1L
Q14517	Protocadherin Fat 1	FAT1	Q14517;A0A087WVP1;D6RCE4	Protocadherin Fat 1;Protocadherin Fat 1, nuclear form	FAT1
A0A087WVQ6	Clathrin heavy chain	CLTC	A0A087WVQ6;Q00610-2;Q00610;J3KS13;K7EJJ5;J3KRF5;J3KSQ2;J3QL20;A0A087WV74;A0A087WXH4;F5H5N6	Clathrin heavy chain;Clathrin heavy chain 1	CLTC
A0A087WVS8	MOB kinase activator 2	MOB2	A0A087WVS8;Q70IA6-2;Q70IA6;Q70IA6-3	MOB kinase activator 2	MOB2
A0A087WVT6	Single-stranded DNA-binding protein 3	SSBP3	A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9BWW4;D6RAC5;U3KQ46;Q9NW25;A0A087X159;P81877-2;P81877-4;P81877-5;P81877-3;P81877;Q9BWG4-2;Q9BWG4	Single-stranded DNA-binding protein 3;Single-stranded DNA-binding protein 2;Single-stranded DNA-binding protein 4	SSBP3;SSBP2;SSBP4
A0A087WVX4	Iodothyronine deiodinase	DIO1	A0A087WVX4;P49895-4;P49895;P49895-2;D3DQ42;A0A182DWI2;C6ZRC2;A0A087WYB0;P49895-7;P49895-5;E9PM07;E9PI35;P49895-3	Iodothyronine deiodinase;Type I iodothyronine deiodinase	DIO1
A0A087WVZ9	DNA-directed RNA polymerases I, II, and III subunit RPABC1	POLR2E	A0A087WVZ9;P19388;A0A087WWX0;A0A0A0MQR7;A0A087WVN5	DNA-directed RNA polymerases I, II, and III subunit RPABC1	POLR2E
A0A087WW00	Ubiquitin-conjugating enzyme E2 D4	UBE2D1	A0A087WW00;C9J9H9;Q9Y2X8;P51668;D6RA11	Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1	UBE2D1;UBE2D4;UBE2D3
A0A087WW40	Endophilin-B1	SH3GLB1	A0A087WW40;Q9Y371;Q9Y371-2;Q9Y371-3	Endophilin-B1	SH3GLB1
Q9C0D9	Ethanolaminephosphotransferase 1	EPT1	Q9C0D9;A0A087WW58;C9JAG1	Ethanolaminephosphotransferase 1	EPT1
A0A087WW77	Lethal(2) giant larvae protein homolog 1	LLGL1	A0A087WW77;Q15334	Lethal(2) giant larvae protein homolog 1	LLGL1
A0A087X0Q4	Ig kappa chain V-II region Cum	IGKV2-40	A0A087X0Q4;A0A087WW87;P01614	Ig kappa chain V-II region Cum	IGKV2-40
A0A087WW88	A0A087WW88	CHMP2B	A0A087WW88		CHMP2B
A0A087WWA3	Kinesin-like protein	KIF1B	A0A087WWA3;Q4R9M9;O60333-2;O60333;O60333-4;A0A0U1RQL3	Kinesin-like protein;Kinesin-like protein KIF1B	KIF1B;KIF1Bbeta
A0A087WWF1	Selenoprotein M	SELM	A0A087WWF1;Q8WWX9	Selenoprotein M	SELM
A0A087WWF6	DNA polymerase delta subunit 2	POLD2	A0A087WWF6;P49005;F8W8R3;C9IZD2;C9J8Z7;C9JLE1;C9JHC7;H7C1B3	DNA polymerase delta subunit 2	POLD2
A0A087WWI0	Leucine-rich repeat-containing protein C10orf11	C10orf11	A0A087WWI0;Q9H2I8;A0A087WZZ7;M0R2H0	Leucine-rich repeat-containing protein C10orf11	C10orf11
A0A3B3IU98	IQ motif and SEC7 domain-containing protein 1	IQSEC1	A0A3B3IU98;A0A0C4DGT3;A0A2R8Y7T6;A0A087WWK8;A0A3B3IRZ4;Q6DN90-2;Q6DN90;A0A2R8Y695;A0A1W2PRJ5;A0A1W2PPU7	IQ motif and SEC7 domain-containing protein 1	IQSEC1
Q9P2T1	GMP reductase 2	GMPR2	Q9P2T1;A0A087WWM4;Q9P2T1-2;Q9P2T1-3;H0YNJ6;F8WAN9;H0YMB3;H0YLV5;H0YK13;H0YK71;H0YN22;H0YMW6;H0YNH0;H0YLB8;H0YMV5;H0YNS9;H0YMR9;H0YMG3;A0A0B4J281;H0YKE1;H0YN74;H0YKK3;H0YL68	GMP reductase 2;GMP reductase	GMPR2
A0A087WWM6	Proline dehydrogenase 1, mitochondrial	PRODH	A0A087WWM6;O43272;E7EQL6;O43272-2;O43272-1;C9JIW4;H7C363	Proline dehydrogenase 1, mitochondrial	PRODH
A0A087WWQ5	Arrestin-C	ARR3	A0A087WWQ5;P36575-2;P36575;D6RCT3	Arrestin-C	ARR3
I3L2Z5	Myc-associated zinc finger protein	MAZ	I3L2Z5;A0A087WWR2;P56270-3;P56270;P56270-2;I3L411;I3L4Y2;H3BPU3;I3L0M3;H3BQS2;H3BQI4;P56270-4;Q9HBE1-4;Q9HBE1-2;Q9HBE1-3;Q9HBE1	Myc-associated zinc finger protein	MAZ
A0A087WWS1	THO complex subunit 1	THOC1	A0A087WWS1;Q96FV9;R4GMN4;A0A087WY84;Q96FV9-2;R4GN58;J3KT14;J3KRD7;J3QQZ3	THO complex subunit 1	THOC1
A0A087WWV5	A0A087WWV5	WDR13	A0A087WWV5		WDR13
A0A087WWW9	B-cell lymphoma/leukemia 10	BCL10	A0A087WWW9;O95999	B-cell lymphoma/leukemia 10	BCL10
A0A087WWY9	Ras and Rab interactor 3	RIN3	A0A087WWY9;Q8TB24;H0YJ83;Q8TB24-4	Ras and Rab interactor 3	RIN3
A0A087WYF1	Laminin subunit alpha-2	LAMA2	A0A087WYF1;A0A087WX80;P24043;A0A2R8YDM5	Laminin subunit alpha-2	LAMA2
A0A087WXB0	Secretory carrier-associated membrane protein 1	SCAMP1	A0A087WXB0;O15126;A0A087WU14;O15126-2;A0A087WTX8;A0A087WZA6	Secretory carrier-associated membrane protein 1	SCAMP1
C9IZL6	Type 2 lactosamine alpha-2,3-sialyltransferase	ST3GAL6	C9IZL6;A0A087WXB8;Q9Y274;C9J480;C9J0E2;Q9Y274-2;C9JWI9;C9JXM2;C9JMW7;C9JWJ3;C9J9Y4;F2Z2F4	Type 2 lactosamine alpha-2,3-sialyltransferase	ST3GAL6
A0A087WXC5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	A0A087WXC5;E7ESZ7;O95299;O95299-2;C9J6X0;Q8N1B9;H7C2W5;H7C1Y7;H7C2X4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10
A0A087WXE9	Inactive serine protease PAMR1	PAMR1	A0A087WXE9;Q6UXH9;E9PQ70;Q6UXH9-3;Q6UXH9-2;E9PMN5	Inactive serine protease PAMR1	PAMR1
U3KPX5	Integrin beta-like protein 1	ITGBL1	U3KPX5;A0A087WXI7;A0A087WY35;O95965-2;O95965-3;O95965	Integrin beta-like protein 1	ITGBL1
J3QSS3	ATP-binding cassette sub-family A member 2	ABCA2	J3QSS3;A0A087WXK5;Q9BZC7;Q9BZC7-3;H0Y8E3	ATP-binding cassette sub-family A member 2	ABCA2
A0A087WXL6	Vacuolar protein sorting-associated protein 11 homolog	VPS11	A0A087WXL6;Q9H270;B7Z879;A0A0G2JS92;A0A087X2J4	Vacuolar protein sorting-associated protein 11 homolog	VPS11
A0A087WXM6	60S ribosomal protein L17	RPL17	A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3QLC8;A0A0A0MRF8;P18621-2;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3KSJ0	60S ribosomal protein L17	RPL17;RPL17-C18orf32
A0A087WXM8	Basal cell adhesion molecule	BCAM	A0A087WXM8;P50895;K7ENU8;K7ERB7	Basal cell adhesion molecule	BCAM
A0A087WXP0	A0A087WXP0	AZU1	A0A087WXP0		AZU1
O43681	ATPase ASNA1	ASNA1	O43681;A0A087WXS7;K7ERW9	ATPase ASNA1	ASNA1
A0A087WXV4	Hepatocyte nuclear factor 4-alpha	HNF4A	A0A087WXV4;P41235-6;P41235-5;P41235-2;P41235;P41235-4;P41235-7;P41235-3;B9VVT8	Hepatocyte nuclear factor 4-alpha	HNF4A
A0A087WXW3	Signaling threshold-regulating transmembrane adapter 1	SIT1	A0A087WXW3;Q9Y3P8	Signaling threshold-regulating transmembrane adapter 1	SIT1
F5H211	Ataxin-3	ATXN3	F5H211;A0A087X1A8;S4R399;A0A087WXY4;D3VVH9;G3V3R7;P54252-4;A0A2R8Y3X7;P54252;P54252-1;P54252-3;G3V4F4;G3V4F5;G3V328;G3V5H3;C9JQV6;G3V3T0;E9PJN5;G3V4U9;A0A0A0MS38;G3V526;G3V3A6;G3V390;G3V2G1;D3VVP3;A0A2R8Y888;D6R9I5;G3V4B1;G3V3S5;G3V3T6;G3V2G2;Q9H3M9;P54252-5	Ataxin-3	ATXN3
A0A087WXZ7	HEAT repeat-containing protein 6	HEATR6	A0A087WXZ7;K7EIX2;Q6AI08;K7ELR8	HEAT repeat-containing protein 6	HEATR6
A0A087WY55	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1	A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1
A0A087WY71	AP-2 complex subunit mu	AP2M1	A0A087WY71;Q96CW1-2;Q96CW1;E9PFW3;C9JJ47;C9JTK4;C9JJD3;C9JPV8;H7C4C3	AP-2 complex subunit mu	AP2M1
D6RFM0	Ubiquitin-conjugating enzyme E2 D2	UBE2D2	D6RFM0;D6RAH7;H9KV45;A0A0A0MQU3;A0A087WY85;P62837-2;P62837;P61077;P61077-2;P61077-3;D6RAW0	Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D3	UBE2D2;UBE2D3
Q6UXV4	MICOS complex subunit MIC27	APOOL	Q6UXV4;A0A087WYF7;A0A087WUX8	MICOS complex subunit MIC27	APOOL
Q7Z478	ATP-dependent RNA helicase DHX29	DHX29	Q7Z478;A0A087WYN9;H0Y8L1	ATP-dependent RNA helicase DHX29	DHX29
A0A087WYP2	Selenoprotein H	C11orf31	A0A087WYP2;Q8IZQ5;H0YE28;H3BV83	Selenoprotein H	C11orf31;SELH
A0A087WYR0	Signal recognition particle 19 kDa protein	SRP19	A0A087WYR0;P09132;A0A087WWU9;A0A2U3TZN1;D6RBG4;A0A2R8Y4M3;P09132-2	Signal recognition particle 19 kDa protein	SRP19
A0A087WYT3	Prostaglandin E synthase 3	PTGES3	A0A087WYT3;Q15185-4;Q15185;Q15185-3;B4DDC6;Q15185-2	Prostaglandin E synthase 3	PTGES3
